abandon|放弃，抛弃
arrest|逮捕，拘留
arrival|到达，到来
arrive|到达，抵达
arrow|箭，箭头
art|艺术，美术
article|文章；物品
artificial|人造的，假的
artist|艺术家，画家
as|作为；当...时
ash|灰，灰烬
ashamed|惭愧的，羞耻的
ashore|在岸上
aside|在旁边
ask|问，询问
asleep|睡着的，睡熟的
aspect|方面，面貌
assess|评估，评价
assign|分配，指派
assist|帮助，协助
assistance|帮助，援助
assistant|助手，助理
associate|联系；伙伴
association|协会，联系
assume|假定，承担
assumption|假定，设想
assure|保证，确保
astonish|使惊讶
astronaut|宇航员
at|在...地点
athlete|运动员
atmosphere|大气；气氛
attach|附上，系上
attack|攻击，抨击
attain|获得，达到
attempt|尝试，企图
attend|出席，参加
attention|注意，关注
attitude|态度，看法
attract|吸引，引起
attraction|吸引力，景点
attractive|有吸引力的
audience|观众，听众
August|八月
aunt|姨母，姑母
authentic|真实的，可靠的
author|作者，作家
authority|权威；当局
automatic|自动的
autumn|秋天，秋季
available|可获得的，有空的
avenue|林荫道，大街
average|平均的；平均水平
avoid|避免，避开
awake|醒着的；唤醒
award|奖品，奖金
aware|知道的，意识到的
away|离开，远离
awful|糟糕的，可怕的
baby|婴儿，宝贝
back|后面的；背部
background|背景，经历
backward|向后的，倒退的
bacon|培根，咸肉
bad|坏的，糟糕的
badly|严重地；恶劣地
bag|包，袋子
baggage|行李
bake|烤，烘焙
balance|平衡；结余
ball|球，舞会
balloon|气球
banana|香蕉
band|乐队；带子
bank|银行；河岸
bar|酒吧；条，棒
barbecue|烤肉野餐
barber|理发师
bare|赤裸的；光秃秃的
bargain|便宜货；交易
bark|狗叫；树皮
barrier|障碍，屏障
base|基础，基地
baseball|棒球
basic|基本的，基础的
basin|盆，水池
basis|基础，根据
basket|篮子
basketball|篮球
bat|蝙蝠；球棒
bath|洗澡；浴缸
bathe|洗澡，游泳
bathroom|浴室，洗手间
battery|电池
battle|战斗，战役
bay|海湾；咆哮
be|是，成为
beach|海滩，沙滩
bean|豆，豆子
bear|熊；忍受
beard|胡须
beat|打，敲；节拍
beautiful|美丽的，漂亮的
beauty|美，美人
because|因为
become|成为，变得
bed|床
bedroom|卧室
bee|蜜蜂
beef|牛肉
beer|啤酒
before|在...之前
begin|开始
beginner|初学者
beginning|开始，开端
behave|表现，举止
behavior|行为，举止
behind|在...后面
being|存在；生物
belief|信念，信仰
believe|相信，认为
bell|钟，铃
belong|属于
below|在...下面
belt|腰带，传送带
bench|长凳，长椅
bend|弯曲，屈身
beneath|在...下方
benefit|利益，好处
beside|在...旁边
besides|此外，而且
best|最好的
bet|打赌；确信
better|更好的
between|在...之间
beyond|在...那边；超出
bicycle|自行车
bid|出价；命令
big|大的，巨大的
bike|自行车
bill|账单；钞票
billion|十亿
biology|生物学
bird|鸟
birth|出生，诞生
birthday|生日
biscuit|饼干
bit|一点，少量
bite|咬，叮
bitter|苦的，痛苦的
black|黑色的；黑人的
blackboard|黑板
blame|责备，责怪
blank|空白的；茫然的
blanket|毯子
bleed|流血，出血
blend|混合，融合
blind|盲的，盲目的
block|大块；街区
blood|血，血液
bloom|开花；繁荣
blow|吹，刮风
blue|蓝色的；忧郁的
board|板；委员会
boast|自夸，吹嘘
boat|船，小船
body|身体，主体
boil|沸腾，煮
bomb|炸弹；投弹
bone|骨头，骨质
book|书，书籍
boot|靴子
border|边界；边缘
bore|使厌烦；钻孔
bored|感到厌烦的
boring|令人厌烦的
born|天生的，出生的
borrow|借，借用
boss|老板，上司
both|两者，双方
bother|打扰，麻烦
bottle|瓶子
bottom|底部，基部
bounce|弹起，反弹
bound|一定的；有义务的
boundary|边界，分界线
bow|鞠躬；船头
bowl|碗，钵
box|盒子，箱子
boxing|拳击
boy|男孩，少年
brain|大脑，智力
branch|树枝；分部
brave|勇敢的，无畏的
bread|面包
break|打破；休息
breakfast|早餐
breath|呼吸，气息
breathe|呼吸
brick|砖，砖块
bride|新娘
bridge|桥，桥梁
brief|简短的，简洁的
bright|明亮的；聪明的
brilliant|杰出的，辉煌的
bring|带来，拿来
broad|宽的，广阔的
broadcast|广播，播放
brochure|小册子
broken|破碎的，坏掉的
broom|扫帚
brother|兄弟
brown|棕色的；褐色的
brush|刷子；刷
budget|预算
build|建造，建设
building|建筑物，楼房
bunch|束，串
burden|负担，重担
bureau|局，办事处
burn|燃烧；烧伤
burst|爆裂，爆炸
bury|埋葬，掩埋
bus|公共汽车
bush|灌木，灌木丛
business|商业，生意
businessman|商人
busy|忙的，繁忙的
but|但是，除了
butter|黄油
button|按钮；纽扣
buy|买，购买
by|通过；在...旁边
cab|出租车，计程车
cabbage|卷心菜
cafe|咖啡馆，小餐馆
cage|笼子，鸟笼
calculate|计算，核算
call|打电话；称呼
calm|平静的；冷静的
camel|骆驼
camera|照相机，摄像机
camp|营地；扎营
campaign|运动，战役
can|能，可以；罐头
Canada|加拿大
canal|运河，水道
cancel|取消，撤销
cancer|癌症
candidate|候选人，报考者
candle|蜡烛
candy|糖果
cap|帽子，便帽
capable|有能力的，能干的
capacity|容量；能力
capital|首都；资本
captain|队长，船长
capture|捕获，占领
car|汽车，轿车
carbon|碳
card|卡片，纸牌
care|关心；照顾
career|职业，事业
careful|小心的，仔细的
careless|粗心的，漫不经心的
cargo|货物，船货
carpenter|木匠
carpet|地毯
carriage|四轮马车；客车厢
carrier|搬运工；载体
carrot|胡萝卜
carry|携带，运送
cart|二轮马车；购物车
case|情况，案例
cash|现金，现款
cassette|磁带
cast|投掷；铸造
castle|城堡
casual|随意的，非正式的
cat|猫
catalog|目录
catch|抓住；赶上
category|类别，种类
cattle|牛，家畜
cause|原因；引起
caution|小心，谨慎
cautious|小心的，谨慎的
cave|山洞，洞穴
cease|停止，终止
ceiling|天花板
celebrate|庆祝，祝贺
cell|细胞；小房间
cent|分，分币
center|中心，中央
central|中心的，主要的
century|世纪，百年
ceremony|典礼，仪式
certain|确定的，无疑的
certainly|当然，无疑
certificate|证书，证明书
chain|链子；连锁店
chair|椅子；主席
chairman|主席，董事长
challenge|挑战，难题
champion|冠军，拥护者
chance|机会，可能性
change|改变；零钱
channel|频道；渠道
chapter|章，回
character|性格；角色
characteristic|特征，特点
charge|收费；指控
chart|图表，曲线图
chase|追逐，追求
chat|聊天，闲谈
cheap|便宜的，廉价的
cheat|欺骗，作弊
check|检查；支票
cheek|面颊，脸蛋
cheer|欢呼，喝彩
cheese|奶酪，干酪
chef|厨师，主厨
chemical|化学的；化学品
chemist|药剂师，化学家
chemistry|化学
cheque|支票
chess|国际象棋
chest|胸腔，箱子
chicken|鸡肉；小鸡
chief|主要的；首领
child|孩子，儿童
childhood|童年，幼年
chocolate|巧克力
choice|选择，抉择
choose|选择，挑选
chopsticks|筷子
Christian|基督徒；信奉基督教的
Christmas|圣诞节
church|教堂；礼拜
cigarette|香烟
cinema|电影院
circle|圆圈；圈子
circumstance|情况，环境
citizen|公民，市民
city|城市，都市
civil|公民的；国内的
civilian|平民，百姓
claim|声称；索赔
class|班级；等级
classic|经典的，古典的
classmate|同学，同班同学
classroom|教室
clean|干净的；清洁
clear|清晰的；清楚的
clerk|职员，办事员
clever|聪明的，机灵的
click|点击；发出咔哒声
climate|气候，风气
climb|爬，攀登
clinic|诊所，门诊部
clock|时钟，钟表
close|亲密的；关闭
cloth|布，织物
clothes|衣服，服装
clothing|衣服，衣着
cloud|云，云朵
cloudy|多云的，阴天的
club|俱乐部，社团
clue|线索，提示
clumsy|笨拙的，笨手笨脚的
coach|教练；长途汽车
coal|煤，煤块
coast|海岸，海滨
coat|外套，上衣
cock|公鸡；龙头
code|代码，密码
coffee|咖啡
coin|硬币；创造
cold|冷的；感冒
collar|衣领，领子
colleague|同事，同僚
collect|收集，采集
collection|收藏品，收集
college|学院，大学
collision|碰撞，冲突
color|颜色
column|列，专栏
comb|梳子；梳理
combination|结合，组合
combine|结合，联合
come|来，来到
comedy|喜剧，喜剧片
comfort|舒适；安慰
comfortable|舒适的，舒服的
command|命令；掌握
comment|评论，意见
commerce|商业，贸易
commercial|商业的，商务的
commission|委员会；佣金
commit|犯（罪）；承诺
commitment|承诺，保证
committee|委员会
common|普通的，常见的
communicate|交流，沟通
communication|交流，通讯
community|社区，社会
companion|同伴，伴侣
company|公司；陪伴
compare|比较，对比
comparison|比较，对照
compete|竞争，比赛
competition|竞争，比赛
competitor|竞争者，对手
complain|抱怨，投诉
complaint|投诉，抱怨
complete|完全的；完成
complex|复杂的；复合的
component|组成部分，成分
compose|组成；作曲
composition|作文；成分
comprehension|理解（力）
comprehensive|全面的，综合的
computer|计算机，电脑
concentrate|集中；浓缩
concept|概念，观念
concern|关心；涉及
concerned|担心的；有关的
concert|音乐会，演唱会
conclude|推断出；结束
conclusion|结论，结束
concrete|具体的；混凝土
condition|条件；状况
conduct|行为；引导
conference|会议，研讨会
confidence|信心，自信
confident|自信的，确信的
confine|限制；监禁
confirm|确认，证实
conflict|冲突，矛盾
confuse|使困惑；混淆
confusion|困惑，混乱
connect|连接，联系
connection|连接，关系
conquer|征服，战胜
consequence|结果，后果
consequently|因此，所以
conservation|保存，保护
conservative|保守的，守旧的
consider|考虑，认为
considerable|相当大的，可观的
considerate|体贴的，考虑周到的
consist|由...组成
consistent|一致的，始终如一的
constant|不断的，持续的
constitute|组成，构成
constitution|宪法；体质
construct|建造，建设
construction|建设，建筑物
consult|咨询，商量
consume|消耗，消费
consumption|消费，消耗
contact|接触；联系
contain|包含，容纳
container|容器，集装箱
contemporary|当代的，同时代的
content|内容；满意的
contest|竞赛，比赛
context|上下文，语境
continent|大陆，洲
continue|继续，持续
contract|合同；收缩
contradiction|矛盾，冲突
contrary|相反的；对立面
contrast|对比，对照
contribute|贡献；捐助
contribution|贡献，捐款
control|控制，管理
controversial|有争议的，引起争议的
controversy|争议，争论
convenience|便利，方便
convenient|方便的，便利的
convention|大会；惯例
conventional|传统的，常规的
conversation|谈话，交谈
convert|转变，转换
convey|表达，传达
convince|说服，使确信
cook|烹饪，做饭
cookie|饼干
cool|凉爽的；酷的
copy|复制；副本
core|核心，要点
corn|玉米，谷物
corner|角落，拐角
correct|正确的，恰当的
correspond|符合；通信
cost|花费；成本
cottage|小屋，村舍
cotton|棉花；棉布
cough|咳嗽
could|能，可以（can的过去式）
count|数数；认为
counter|柜台；计数器
country|国家；乡村
countryside|乡下，农村
couple|一对；夫妻
courage|勇气，胆量
course|课程；过程
court|法院；球场
courtyard|庭院，院子
cousin|堂（表）兄弟姐妹
cover|覆盖；封面
cow|母牛，奶牛
crack|裂缝；爆裂声
craft|工艺；手艺
crash|碰撞；坠毁
crawl|爬行，蠕动
crazy|疯狂的，荒唐的
cream|奶油，乳脂
create|创造，产生
creative|有创造力的，创造性的
creature|生物，动物
credit|信用；学分
crime|罪行，犯罪
criminal|罪犯；犯罪的
crisis|危机，紧要关头
critic|批评家，评论家
critical|关键的；批评的
criticism|批评，指责
criticize|批评，评论
crop|农作物；庄稼
cross|穿过；十字架
crowd|人群；拥挤
crown|王冠，皇冠
crucial|至关重要的，决定性的
cruel|残酷的，残忍的
cry|哭，叫喊
culture|文化，文明
cup|杯子，奖杯
cupboard|橱柜，衣柜
cure|治愈；疗法
curious|好奇的，奇怪的
currency|货币，通货
curriculum|课程
curtain|窗帘，门帘
curve|曲线，弯曲
custom|习惯，风俗
customer|顾客，客户
cut|切，割
cycle|循环，周期
daily|每日的；日报
dairy|乳制品；牛奶场
dam|水坝，堤坝
damage|损害，损毁
dance|跳舞，舞蹈
danger|危险
dangerous|危险的
dare|敢，敢于
dark|黑暗的，暗色的
darkness|黑暗，阴暗
data|数据，资料
date|日期，约会
daughter|女儿
day|天，白天
dead|死的，失去生命的
deadline|最后期限，截止日期
deaf|聋的
deal|交易，大量
dealer|商人，贩子
dear|亲爱的，昂贵的
death|死亡
debate|辩论，争论
debt|债务，欠款
decade|十年，十年期
decide|决定，下决心
decision|决定，抉择
declare|宣布，声明
decline|下降，拒绝
decorate|装饰，装潢
decrease|减少，降低
dedicate|奉献，献身
deed|行为，事迹
deep|深的，纵深的
deer|鹿
define|定义，界定
definite|明确的，一定的
definition|定义，释义
degree|程度，学位
delay|耽搁，延迟
delete|删除，删去
delicate|精致的，脆弱的
delicious|美味的，可口的
delight|快乐，高兴
deliver|递送，发表
delivery|递送，分娩
demand|要求，需求
democracy|民主，民主制
democratic|民主的，民主制的
demonstrate|证明，示范
dense|密集的，稠密的
density|密度，浓度
dental|牙齿的，牙科的
deny|否认，拒绝
depart|离开，出发
department|部门，系
depend|依赖，依靠
dependent|依赖的，依靠的
deposit|存款，押金
depress|使沮丧，压下
depth|深度，深处
describe|描述，形容
description|描述，形容
desert|沙漠；遗弃
deserve|应得，值得
design|设计，构思
designer|设计者，设计师
desire|愿望，要求
desk|书桌，办公桌
desperate|绝望的，孤注一掷的
despite|尽管，不管
dessert|甜点，甜食
destination|目的地，终点
destroy|破坏，毁坏
detail|细节，详情
detect|察觉，发现
determination|决心，决定
determine|决定，确定
develop|发展，开发
development|发展，发育
device|设备，装置
devil|魔鬼，家伙
devise|设计，发明
devote|奉献，致力于
diagram|图表，图解
dial|拨号；刻度盘
dialogue|对话，对白
diamond|钻石，菱形
diary|日记，日志
dictate|口述；命令
dictionary|字典，词典
die|死亡，熄灭
diet|饮食，节食
differ|不同，相异
difference|差异，不同
different|不同的，有差异的
difficult|困难的，费力的
difficulty|困难，难题
dig|挖，掘
digest|消化；摘要
digital|数字的，数码的
dignity|尊严，高贵
dilemma|困境，进退两难
dimension|尺寸，维度
dinner|晚餐，晚宴
dip|浸，蘸
direct|直接的；指挥
direction|方向，指导
directly|直接地，立即
director|导演，主管
directory|目录，指南
dirt|污垢，泥土
dirty|脏的，肮脏的
disability|残疾，无能
disable|使丧失能力
disagree|不同意，有分歧
disappear|消失，不见
disappoint|使失望
disaster|灾难，灾祸
disc|圆盘，磁盘
discard|丢弃，抛弃
discharge|释放；排出
discipline|纪律；学科
disclose|揭露，透露
discourage|使泄气，阻碍
discover|发现，发觉
discovery|发现，发觉
discuss|讨论，议论
discussion|讨论，辩论
disease|疾病，病害
disgust|厌恶，反感
dish|盘子，菜肴
disk|磁盘，圆盘
dislike|不喜欢，厌恶
dismiss|解雇；解散
disorder|混乱，骚乱
display|展示，陈列
dispute|争论，争端
dissolve|溶解；解散
distance|距离，远处
distant|遥远的，远离的
distinct|清晰的，明显的
distinction|区别，荣誉
distinguish|区分，辨别
distribute|分配，分发
district|地区，区域
disturb|打扰，妨碍
ditch|沟渠，壕沟
dive|跳水，潜水
diverse|多样的，不同的
divide|分开，划分
division|划分，部门
divorce|离婚；分离
do|做，干
doctor|医生，博士
document|文件，公文
dog|狗，犬
dollar|美元，元（货币单位）
door|门，出入口
dormitory|宿舍，寝室
double|双倍的；加倍
doubt|怀疑，疑问
down|向下，朝下
download|下载
downstairs|在楼下，往楼下
downtown|市中心，商业区
dozen|一打，十二个
draft|草案，草图
drag|拖，拉
drama|戏剧，剧本
dramatic|戏剧性的，引人注目的
draw|画，拉
drawer|抽屉
drawing|图画，素描
dream|梦想，梦
dress|连衣裙；穿衣
drift|漂流，漂移
drill|钻孔；训练
drink|喝，饮料
drive|驾驶，驱车
driver|司机，驾驶员
drop|落下，滴
drug|药物，毒品
drum|鼓，鼓声
drunk|醉的，喝醉了的
dry|干的，干燥的
duck|鸭子，鸭肉
due|由于；应支付的
dull|枯燥的，沉闷的
dumb|哑的，无言的
dump|倾倒，倾卸
durable|耐用的，持久的
duration|持续时间，期间
during|在...期间
dust|灰尘，尘土
duty|责任，义务
DVD|数字视频光盘
dynamic|动态的，有活力的
each|每个，各自
eager|渴望的，热切的
eagle|鹰，雕
ear|耳朵，听觉
early|早的，早期的
earn|赚得，获得
earnest|认真的，诚挚的
earth|地球，土地
earthquake|地震
ease|容易，舒适
easily|容易地，不费力地
east|东方的，东部的
eastern|东方的，东部的
easy|容易的，简单的
eat|吃，吃饭
echo|回声，回音
economical|节约的，经济的
economic|经济的，经济学的
economics|经济学
economist|经济学家
economy|经济，节约
edge|边缘，边线
edition|版本，版
editor|编辑，编者
educate|教育，培养
education|教育，培养
educational|教育的，有教育意义的
effect|效果，影响
effective|有效的，起作用的
efficiency|效率，功效
efficient|高效的，有能力的
effort|努力，尽力
egg|鸡蛋，卵
eight|八
eighteen|十八
eighth|第八
eighty|八十
either|或者，也
elaborate|详尽的；精心制作的
elastic|有弹性的，灵活的
elbow|肘，肘部
elder|年长的，资格老的
elect|选举，推选
election|选举，当选
electric|电的，电动的
electrical|与电有关的
electricity|电，电流
electronic|电子的，电子设备的
element|元素，要素
elementary|基本的，初级的
elephant|大象
elevator|电梯，升降机
eleven|十一
eligible|有资格的，符合条件的
eliminate|消除，排除
elite|精英，杰出人物
else|其他的，别的
e-mail|电子邮件
embarrass|使尴尬，使为难
embrace|拥抱；欣然接受
emerge|浮现，出现
emergency|紧急情况，突发事件
emit|散发，发射
emotion|情感，情绪
emotional|情感的，情绪的
emphasis|强调，重点
emphasize|强调，着重
empire|帝国
employ|雇佣，使用
employee|雇员，员工
employer|雇主，老板
employment|就业，雇佣
empty|空的，空虚的
enable|使能够，使可能
enclose|围住，封入
encounter|遭遇，遇到
encourage|鼓励，激励
encouragement|鼓励，激励
end|结束，末端
ending|结局，结尾
endless|无尽的，永无止境的
endorse|支持，赞同
endure|忍受，忍耐
enemy|敌人，仇敌
energy|精力，能量
enforce|实施，执行
engage|从事，占用
engine|发动机，引擎
engineer|工程师，技师
engineering|工程，工程学
enjoy|享受，喜爱
enlarge|扩大，放大
enormous|巨大的，庞大的
enough|足够的，充分的
ensure|确保，保证
enter|进入，参加
entertain|娱乐，招待
enthusiasm|热情，热心
entire|全部的，整个的
entitle|给...权利，给...题名
entrance|入口，进入
entry|进入，入口处
environment|环境，外界
environmental|环境的，有关环境的
episode|插曲，片段
equal|相等的，平等的
equality|平等，同等
equip|装备，配备
equipment|设备，器材
era|时代，纪元
error|错误，过失
escape|逃跑，逃脱
especially|特别，尤其
essay|散文，随笔
essential|必不可少的，本质的
establish|建立，设立
establishment|建立，机构
estimate|估计，估价
etc.|等等，以及其他
ethic|道德规范，伦理标准
ethnic|种族的，民族的
evaluate|评估，评价
evaporate|蒸发，挥发
eve|前夕，前一天
even|甚至，即使
evening|晚上，傍晚
event|事件，大事
eventually|最终，最后
ever|曾经，永远
every|每个的，每一的
everybody|每人，人人
everyday|日常的，每天的
everyone|每人，人人
everything|每件事，一切
everywhere|到处，处处
evidence|证据，证明
evident|明显的，显然的
evil|邪恶的，罪恶的
evolution|进化，演变
exact|精确的，准确的
exactly|确切地，恰恰
exaggerate|夸大，夸张
exam|考试，测验
examination|考试，检查
examine|检查，调查
example|例子，榜样
exceed|超过，超出
excellent|优秀的，极好的
except|除了...之外
exception|例外，除外
exchange|交换，交流
excite|使兴奋，刺激
exciting|令人兴奋的，激动人心的
exclude|排除，排斥
excuse|借口；原谅
exercise|练习，锻炼
exert|运用，发挥
exhaust|使筋疲力尽；排气
exhibit|展览，展示
exist|存在，生存
existence|存在，生存
exit|出口，通道
expand|扩大，扩展
expansion|扩张，膨胀
expect|期望，预料
expectation|期望，预期
expense|费用，开支
expensive|昂贵的，花钱多的
experience|经验，经历
experiment|实验，试验
expert|专家，能手
explain|解释，说明
explanation|解释，说明
explode|爆炸，爆发
exploit|利用；剥削
explore|探索，勘探
explosion|爆炸，爆发
explosive|爆炸性的；炸药
export|出口，输出
expose|暴露，揭露
express|表达；快车
expression|表达，词语
extend|延伸，延长
extension|延伸，扩展
extensive|广泛的，广阔的
extent|程度，范围
external|外部的，外面的
extra|额外的，另外的
extraordinary|非同寻常的，特别的
extreme|极度的，极端的
eye|眼睛，视力
face|脸，面部
facility|设施，设备
fact|事实，真相
factor|因素，要素
factory|工厂，制造厂
faculty|能力，系
fade|褪色，逐渐消失
fail|失败，不及格
failure|失败，失败者
faint|微弱的；头晕的
fair|公平的，公正的
fairly|公平地，相当地
faith|信仰，信念
fall|落下，跌倒
false|错误的，假的
fame|名声，声誉
familiar|熟悉的，常见的
family|家庭，家族
famine|饥荒，饥饿
famous|著名的，出名的
fan|风扇；狂热爱好者
fancy|花哨的；想象
fantastic|极好的，奇异的
fantasy|幻想，想象
fare|车费，船费
farm|农场，农庄
farmer|农民，农场主
fashion|时尚，流行
fashionable|流行的，时髦的
fast|快的，迅速的
fasten|系紧，扣上
fat|胖的，肥的
fate|命运，宿命
father|父亲，爸爸
fault|错误，过失
favo(u)rite|最喜欢的
fear|害怕，恐惧
feasible|可行的，可能的
feather|羽毛，翎毛
feature|特征，特色
federal|联邦的，同盟的
fee|费用，酬金
feed|喂养，饲养
feel|感觉，触摸
feeling|感觉，情感
fellow|同伴，家伙
female|女性的，雌性的
fence|栅栏，围墙
fertile|肥沃的，多产的
fertilizer|肥料，化肥
festival|节日，喜庆日
fetch|取来，接来
fever|发烧，发热
few|很少的，几乎没有的
fiber|纤维，纤维质
fiction|小说，虚构
field|田野，领域
fierce|凶猛的，猛烈的
fifteen|十五
fifth|第五
fifty|五十
fight|打架，战斗
figure|数字，人物
file|文件，档案
fill|填满，装满
film|电影，胶卷
filter|过滤，筛选
final|最终的，最后的
finally|最后，终于
finance|财政，金融
financial|财政的，金融的
find|找到，发现
finding|发现，调查结果
fine|好的，健康的
finger|手指
finish|完成，结束
fire|火，火灾
firm|公司；坚定的
first|第一的，首先的
fish|鱼，钓鱼
fist|拳头，拳击
fit|适合的；安装
five|五
fix|修理，固定
flag|旗帜，标志
flame|火焰，火舌
flash|闪光，闪现
flat|平坦的；公寓
flavor|味道，风味
flee|逃跑，逃离
flesh|肉，肉体
flexible|灵活的，柔韧的
flight|航班，飞行
float|漂浮，浮动
flood|洪水，水灾
floor|地板，楼层
flour|面粉，粉
flow|流动，流量
flower|花，花朵
fluent|流利的，流畅的
fluid|流体，液体
fly|飞，飞行
focus|焦点；集中
fog|雾，烟雾
fold|折叠，对折
folk|人们，家属
follow|跟随，遵循
following|接下来的，下列的
fond|喜爱的，喜欢的
food|食物，食品
fool|傻瓜，愚人
foolish|愚蠢的，可笑的
foot|脚，英尺
football|足球，橄榄球
for|为了，因为
force|力量，武力
forecast|预测，预报
forehead|前额，额头
foreign|外国的，外来的
foreigner|外国人
forest|森林，林区
forever|永远，长久地
forget|忘记，遗忘
forgive|原谅，宽恕
fork|叉子，岔路
form|形式，表格
formal|正式的，正规的
format|格式，版式
formation|形成，构成
former|以前的，从前的
formula|公式，方程式
forth|向前，向外
fortnight|两星期，十四天
fortunate|幸运的，侥幸的
fortune|运气，财富
forty|四十
forward|向前的；转发
fossil|化石，僵化的事物
foster|养育，培养
found|建立，创立
foundation|基础，基金会
four|四
fourteen|十四
fourth|第四
fox|狐狸，狡猾的人
fraction|小部分，分数
fragile|易碎的，脆弱的
fragment|碎片，片段
frame|框架，构架
framework|框架，结构
France|法国
frank|坦率的，直率的
free|免费的；自由的
freedom|自由，自主
freeze|结冰，冻结
freight|货物，运费
French|法国的，法语的
frequency|频率，发生率
frequent|频繁的，经常的
fresh|新鲜的，清新的
friction|摩擦，摩擦力
Friday|星期五
fridge|冰箱
friend|朋友，友人
friendly|友好的，亲切的
friendship|友谊，友情
fright|惊吓，恐怖
frighten|使惊吓，吓唬
from|从...，来自
front|前面，前线
fruit|水果，果实
frustrate|使沮丧，挫败
fry|油炸，油煎
fuel|燃料，能量
fulfill|履行，实现
full|满的，完全的
fun|有趣，娱乐
function|功能，作用
fund|基金，资金
fundamental|基本的，根本的
funeral|葬礼，丧礼
funny|有趣的，滑稽的
fur|毛皮，软毛
furious|狂怒的，暴怒的
furnace|炉子，熔炉
furniture|家具，装置
further|进一步的；更远地
furthermore|此外，而且
future|未来，将来
gain|获得，赢得
gallery|画廊，走廊
gallon|加仑
game|游戏，比赛
gang|一帮，一群
gap|缺口，差距
garage|车库，汽车修理厂
garbage|垃圾，废物
garden|花园，菜园
gardening|园艺，园艺学
gardener|园丁，花匠
gas|气体，煤气
gate|大门，入口
gather|聚集，集合
gathering|聚会，集会
gay|快乐的，同性恋的
gaze|凝视，注视
general|一般的，总的
generally|一般地，通常地
generate|产生，引起
generation|一代，一代人
generator|发电机，发生器
generous|慷慨的，大方的
genetic|遗传的，基因的
gentle|温和的，文雅的
gentleman|绅士，先生
genuine|真正的，真诚的
geography|地理，地理学
geometry|几何学，几何图形
germ|细菌，微生物
German|德国的，德国人
Germany|德国
gesture|手势，姿势
get|得到，变得
ghost|鬼魂，幽灵
giant|巨大的，巨人
gift|礼物，天赋
girl|女孩，姑娘
give|给予，提供
given|特定的，假设的
glad|高兴的，乐意的
glance|一瞥，扫视
glass|玻璃；杯子
glove|手套
glory|光荣，荣誉
glove|手套
glue|胶水，胶粘剂
