young|年轻的
elsewhere|在别处，到别处
everywhere|到处，处处
here|这里，此处
there|那里，那儿
where|哪里
why|为什么
when|什么时候，当……时
how|如何，怎样
what|什么
which|哪一个
who|谁
whom|谁（宾格）
whose|谁的
that|那，那个
this|这，这个
these|这些
those|那些
my|我的
your|你的，你们的
his|他的
her|她的
its|它的
our|我们的
their|他们的，她们的
mine|我的（东西）
yours|你的（东西），你们的（东西）
hers|她的（所有物）
ours|我们的（所有物）
theirs|他们的（东西）
myself|我自己
yourself|你自己
himself|他自己
herself|她自己
itself|它自己
ourselves|我们自己
yourselves|你们自己
themselves|他们自己
anyone|任何人
anybody|任何人
anything|任何事
everyone|每人，人人
everybody|每人，人人
everything|每件事，一切
someone|某人，有人
somebody|某人，有人
something|某事，某物
no one|没有人
nobody|没有人，无名小卒
nothing|没有东西，无事
each|每个，各自
either|或者，也（两者中任一）
neither|两者都不
both|两者，双方
all|全部的；所有的
some|一些，某些
any|任何的，一些
many|许多的，大量的
much|许多的，大量的
more|更多的，另外的
most|最多的，大多数的
few|很少的，几乎没有的
little|小的，很少的
several|几个，若干
enough|足够的，充分的
other|其他的，另外的
another|另一个；别的
such|这样的，如此的
same|相同的，一样的
different|不同的，有差异的
various|各种各样的
certain|确定的，无疑的
particular|特别的，挑剔的
main|主要的，首要的
major|主要的，重大的
minor|较小的，次要的
primary|主要的，初级的
secondary|次要的，中级的
central|中心的，主要的
chief|主要的；首领
key|钥匙，关键
basic|基本的，基础的
fundamental|基本的，根本的
essential|必不可少的，本质的
important|重要的，重大的
significant|重要的，有意义的
necessary|必要的，必需的
vital|至关重要的
crucial|至关重要的，决定性的
critical|关键的；批评的
urgent|紧急的，急迫的
immediate|立即的，即刻的
instant|瞬间，立即的
quick|快的，迅速的
fast|快的，迅速的
rapid|快速的，急速的
swift|迅速的，敏捷的
slow|慢的，缓慢的
gradual|逐渐的，逐步的
steady|稳定的，稳固的
constant|不断的，持续的
continuous|连续的，持续的
continual|持续不断的，频繁的
permanent|永久的，永恒的
temporary|暂时的，临时的
regular|规则的，定期的
normal|正常的，标准的
ordinary|普通的，平凡的
usual|通常的，平常的
common|普通的，常见的
general|一般的，总的
average|平均的；平均水平
typical|典型的，有代表性的
standard|标准，规格
special|特别的，专门的
specific|具体的，明确的
particular|特别的，挑剔的
unique|独特的，唯一的
rare|罕见的，稀有的
scarce|稀有的，罕见的
usual|通常的，平常的
unusual|不寻常的，独特的
strange|奇怪的，陌生的
odd|奇怪的；奇数的
curious|好奇的，奇怪的
